,forest,non-forest,grass,cropland,degraded
2187.0,3627.4884,4356.4766,3091.2211,1792.513075,125.35643750000001
2188.0,3627.4884,4356.4766,3091.2211,1792.513075,125.35643750000001
2189.0,3627.4885000000004,4356.4766,3091.2211,1792.513075,125.35643750000001
2190.0,3627.4885000000004,4356.4766,3091.2211,1792.513075,125.35643750000001
2191.0,3627.4884,4356.4766,3091.2211,1792.513075,125.35643750000001
2192.0,3627.4884,4356.4766,3091.2211,1792.513075,125.35643750000001
2193.0,3627.4884,4356.4766,3091.2211,1792.513075,125.35643750000001
2194.0,3627.4884,4356.4766,3091.2211,1792.513075,125.35643750000001
2195.0,3627.4885,4356.4766,3091.2211,1792.513075,125.35643750000001
2196.0,3627.4885000000004,4356.4766,3091.2211,1792.513075,125.35643750000001
2197.0,3627.4885,4356.4766,3091.2211,1792.513075,125.35643750000001
2198.0,3627.4885,4356.4766,3091.2211,1792.513075,125.35643750000001
2199.0,3627.4884,4356.4766,3091.2211,1792.513075,125.35643750000001
2200.0,3627.4884,4356.4766,3091.2211,1792.513075,125.35643750000001
2201.0,3627.4885000000004,4356.4766,3091.2211,1792.513075,125.35643750000001
2202.0,3627.4884,4356.4766,3091.2211,1792.513075,125.35643750000001
2203.0,3627.4886000000006,4356.4766,3091.2211,1792.513075,125.35643750000001
2204.0,3627.4884,4356.4766,3091.2211,1792.513075,125.35643750000001
2205.0,3627.4884,4356.4766,3091.2211,1792.513075,125.35643750000001
2206.0,3627.4884,4356.4766,3091.2211,1792.513075,125.35643750000001
2207.0,3627.4885000000004,4356.4766,3091.2211,1792.513075,125.35643750000001
2208.0,3627.4885000000004,4356.4766,3091.2211,1792.513075,125.35643750000001
2209.0,3627.4885,4356.4766,3091.2211,1792.513075,125.35643750000001
2210.0,3627.4885,4356.4766,3091.2211,1792.513075,125.35643750000001
2211.0,3627.4885000000004,4356.4766,3091.2211,1792.513075,125.35643750000001
2212.0,3627.4885000000004,4356.4766,3091.2211,1792.513075,125.35643750000001
2213.0,3627.4884,4356.4766,3091.2211,1792.513075,125.35643750000001
2214.0,3627.4884,4356.4766,3091.2211,1792.513075,125.35643750000001
2215.0,3627.4884,4356.4766,3091.2211,1792.513075,125.35643750000001
2216.0,3627.4885000000004,4356.4766,3091.2211,1792.513075,125.35643750000001
2217.0,3627.4885000000004,4356.4766,3091.2211,1792.513075,125.35643750000001
2218.0,3627.4884,4356.4766,3091.2211,1792.513075,125.35643750000001
2219.0,3627.4884,4356.4766,3091.2211,1792.513075,125.35643750000001
2220.0,3627.4885,4356.4766,3091.2211,1792.513075,125.35643750000001
2221.0,3627.4884,4356.4768,3091.2211,1792.513075,125.35643750000001
2222.0,3627.4884,4356.4766,3091.2211,1792.513075,125.35643750000001
2223.0,3627.4885,4356.4766,3091.2211,1792.513075,125.35643750000001
2224.0,3627.4885000000004,4356.4766,3091.2211,1792.513075,125.35643750000001
2225.0,3627.4884,4356.4766,3091.2211,1792.513075,125.35643750000001
2226.0,3627.4884,4356.4766,3091.2211,1792.513075,125.35643750000001
2227.0,3627.4884,4356.4766,3091.2211,1792.513075,125.35643750000001
2228.0,3627.4884,4356.4766,3091.2211,1792.513075,125.35643750000001
2229.0,3627.4884,4356.4766,3091.2211,1792.513075,125.35643750000001
2230.0,3627.4885000000004,4356.4766,3091.2211,1792.513075,125.35643750000001
2231.0,3627.4884,4356.4766,3091.2211,1792.513075,125.35643750000001
2232.0,3627.4884,4356.4766,3091.2211,1792.513075,125.35643750000001
2233.0,3627.4885000000004,4356.4766,3091.2211,1792.513075,125.35643750000001
2234.0,3627.4884,4356.4766,3091.2211,1792.513075,125.35643750000001
2235.0,3627.4884,4356.4766,3091.2211,1792.513075,125.35643750000001
