Year,Emissions.HFC134a eq Emissions,Ozone Forcing.Montreal gases equivalent effective stratospheric chlorine,Minor GHGs Forcing.Montreal Gases Effective Radiative Forcing,Emissions.CO Emissions,Emissions.Total NOx Emissions,Emissions.Total SO2 Emissions,Emissions.VOC Emissions,N2O Forcing.Atmos N2O exogenous,CH4 Forcing.Atmos CH4 exogenous,CO2 Forcing.Atmos CO2 exogenous
1828,0.01888669234780914,365.08573144981625,2.7830384511181344e-05,406.2903038989944,20.16213795081316,4.3947611780919,67.30101512737843,269.64,780.83936,283.65463
1829,0.019092895100248933,365.0855001320547,2.7816766116955743e-05,406.2903038989944,20.16213795081316,4.3947611780919,67.30101512737843,269.7,781.69824,283.6446
1830,0.019299093569264743,365.0852775897673,2.7803584171257098e-05,406.2903038989944,20.16213795081316,4.3947611780919,67.30101512737843,269.76,782.4866,283.6363
1831,0.019505287744491055,365.0850634524733,2.7790824188456903e-05,406.2903038989944,20.16213795081316,4.3947611780919,67.30101512737843,269.83,783.23065,283.60583
1832,0.019711477630298513,365.0848573671785,2.777847219267471e-05,406.2903038989944,20.16213795081316,4.3947611780919,67.30101512737843,269.89,783.9886,283.58588
1833,0.019917663254270704,365.0846589974685,2.7766514698211943e-05,406.2903038989944,20.16213795081316,4.3947611780919,67.30101512737843,269.96,784.86096,283.55606
1834,0.02012384467722253,365.08446802265235,2.7754938690824735e-05,406.2903038989944,20.16213795081316,4.3947611780919,67.30101512737843,270.02,785.8822,283.52625
1835,0.02033002200373918,365.0842841369529,2.7743731609791756e-05,406.2903038989944,20.16213795081316,4.3947611780919,67.30101512737843,270.09,786.9591,283.49646
1836,0.02053619539348812,365.08410704874245,2.773288133074288e-05,406.2903038989944,20.16213795081316,4.3947611780919,67.30101512737843,270.16,788.1029,283.4679
1837,0.02074236507318874,365.0839364798199,2.7722376149210676e-05,406.2903038989944,20.16213795081316,4.3947611780919,67.30101512737843,270.22,788.83514,283.4379
1838,0.020948531345517645,365.083772164728,2.771220476487079e-05,406.2903038989944,20.16213795081316,4.3947611780919,67.30101512737843,270.29,789.45416,283.41824
1839,0.021154694594568556,365.08361385010744,2.7702356266439252e-05,406.2903038989944,20.16213795081316,4.3947611780919,67.30101512737843,270.36,790.0118,283.39862
1840,0.021360855283107435,365.0834612940869,2.769282011719687e-05,406.2903038989944,20.16213795081316,4.3947611780919,67.30101512737843,270.37,790.1644,283.39935
1841,0.021567013939317058,365.0833142657055,2.768358614110979e-05,406.2903038989944,20.16213795081316,4.3947611780919,67.30101512737843,270.48,790.51373,283.41974
1842,0.021773171128098987,365.0831725443672,2.767464450952074e-05,406.2903038989944,20.16213795081316,4.3947611780919,67.30101512737843,270.6,791.1774,283.45044
1843,0.02197932740023102,365.08303591932423,2.766598572838392e-05,406.2903038989944,20.16213795081316,4.3947611780919,67.30101512737843,270.72,792.03973,283.50076
1844,0.02218548321697466,365.08290418918887,2.7657600626018688e-05,406.2903038989944,20.16213795081316,4.3947611780919,67.30101512737843,270.84,793.18896,283.57162
