Year,CO2 Forcing.Atmos CO2 exogenous
2010,1137.2679951985676
2011,1137.2679951985676
2012,1137.2679951985676
2013,1137.2679951985676
2014,1137.2679951985676
2015,1137.2679951985676
2016,1137.2679951985676
2017,1137.2679951985676
2018,1137.2679951985676
2019,1137.2679951985676
2020,1137.2679951985676
2021,1137.2679951985676
2022,1137.2679951985676
2023,1137.2679951985676
2024,1137.2679951985676
2025,1137.2679951985676
2026,1137.2679951985676
2027,1137.2679951985676
2028,1137.2679951985676
2029,1137.2679951985676
2030,1137.2679951985676
2031,1137.2679951985676
2032,1137.2679951985676
2033,1137.2679951985676
2034,1137.2679951985676
2035,1137.2679951985676
2036,1137.2679951985676
2037,1137.2679951985676
2038,1137.2679951985676
2039,1137.2679951985676
2040,1137.2679951985676
2041,1137.2679951985676
2042,1137.2679951985676
2043,1137.2679951985676
2044,1137.2679951985676
2045,1137.2679951985676
2046,1137.2679951985676
2047,1137.2679951985676
2048,1137.2679951985676
2049,1137.2679951985676
2050,1137.2679951985676
2051,1137.2679951985676
2052,1137.2679951985676
2053,1137.2679951985676
2054,1137.2679951985676
2055,1137.2679951985676
2056,1137.2679951985676
2057,1137.2679951985676
2058,1137.2679951985676
2059,1137.2679951985676
2060,1137.2679951985676
2061,1137.2679951985676
2062,1137.2679951985676
2063,1137.2679951985676
2064,1137.2679951985676
2065,1137.2679951985676
2066,1137.2679951985676
2067,1137.2679951985676
2068,1137.2679951985676
2069,1137.2679951985676
2070,1137.2679951985676
2071,1137.2679951985676
2072,1137.2679951985676
2073,1137.2679951985676
2074,1137.2679951985676
2075,1137.2679951985676
2076,1137.2679951985676
2077,1137.2679951985676
2078,1137.2679951985676
2079,1137.2679951985676
2080,1137.2679951985676
2081,1137.2679951985676
2082,1137.2679951985676
2083,1137.2679951985676
2084,1137.2679951985676
2085,1137.2679951985676
2086,1137.2679951985676
2087,1137.2679951985676
2088,1137.2679951985676
2089,1137.2679951985676
2090,1137.2679951985676
2091,1137.2679951985676
2092,1137.2679951985676
2093,1137.2679951985676
2094,1137.2679951985676
2095,1137.2679951985676
2096,1137.2679951985676
2097,1137.2679951985676
2098,1137.2679951985676
2099,1137.2679951985676
2100,1137.2679951985676
2101,1137.2679951985676
2102,1137.2679951985676
2103,1137.2679951985676
2104,1137.2679951985676
2105,1137.2679951985676
2106,1137.2679951985676
2107,1137.2679951985676
2108,1137.2679951985676
2109,1137.2679951985676
2110,1137.2679951985676
2111,1137.2679951985676
2112,1137.2679951985676
2113,1137.2679951985676
2114,1137.2679951985676
2115,1137.2679951985676
2116,1137.2679951985676
2117,1137.2679951985676
2118,1137.2679951985676
2119,1137.2679951985676
2120,1137.2679951985676
2121,1137.2679951985676
2122,1137.2679951985676
2123,1137.2679951985676
2124,1137.2679951985676
2125,1137.2679951985676
2126,1137.2679951985676
2127,1137.2679951985676
2128,1137.2679951985676
2129,1137.2679951985676
2130,1137.2679951985676
2131,1137.2679951985676
2132,1137.2679951985676
2133,1137.2679951985676
2134,1137.2679951985676
2135,1137.2679951985676
2136,1137.2679951985676
2137,1137.2679951985676
2138,1137.2679951985676
2139,1137.2679951985676
2140,1137.2679951985676
2141,1137.2679951985676
2142,1137.2679951985676
2143,1137.2679951985676
2144,1137.2679951985676
2145,1137.2679951985676
2146,1137.2679951985676
2147,1137.2679951985676
2148,1137.2679951985676
2149,1137.2679951985676
2150,1137.2679951985676
2151,1137.2679951985676
2152,1137.2679951985676
2153,1137.2679951985676
2154,1137.2679951985676
2155,1137.2679951985676
2156,1137.2679951985676
2157,1137.2679951985676
2158,1137.2679951985676
2159,1137.2679951985676
2160,1137.2679951985676
2161,1137.2679951985676
2162,1137.2679951985676
2163,1137.2679951985676
2164,1137.2679951985676
2165,1137.2679951985676
2166,1137.2679951985676
2167,1137.2679951985676
2168,1137.2679951985676
2169,1137.2679951985676
2170,1137.2679951985676
2171,1137.2679951985676
2172,1137.2679951985676
2173,1137.2679951985676
2174,1137.2679951985676
2175,1137.2679951985676
2176,1137.2679951985676
2177,1137.2679951985676
2178,1137.2679951985676
2179,1137.2679951985676
2180,1137.2679951985676
2181,1137.2679951985676
2182,1137.2679951985676
2183,1137.2679951985676
2184,1137.2679951985676
2185,1137.2679951985676
2186,1137.2679951985676
2187,1137.2679951985676
2188,1137.2679951985676
2189,1137.2679951985676
2190,1137.2679951985676
2191,1137.2679951985676
2192,1137.2679951985676
2193,1137.2679951985676
2194,1137.2679951985676
2195,1137.2679951985676
2196,1137.2679951985676
2197,1137.2679951985676
2198,1137.2679951985676
2199,1137.2679951985676
2200,1137.2679951985676
2201,1137.2679951985676
2202,1137.2679951985676
2203,1137.2679951985676
2204,1137.2679951985676
2205,1137.2679951985676
2206,1137.2679951985676
2207,1137.2679951985676
2208,1137.2679951985676
2209,1137.2679951985676
2210,1137.2679951985676
2211,1137.2679951985676
2212,1137.2679951985676
2213,1137.2679951985676
2214,1137.2679951985676
2215,1137.2679951985676
2216,1137.2679951985676
2217,1137.2679951985676
2218,1137.2679951985676
2219,1137.2679951985676
2220,1137.2679951985676
2221,1137.2679951985676
2222,1137.2679951985676
2223,1137.2679951985676
2224,1137.2679951985676
2225,1137.2679951985676
2226,1137.2679951985676
2227,1137.2679951985676
2228,1137.2679951985676
2229,1137.2679951985676
2230,1137.2679951985676
2231,1137.2679951985676
2232,1137.2679951985676
2233,1137.2679951985676
2234,1137.2679951985676
2235,1137.2679951985676
2236,1137.2679951985676
2237,1137.2679951985676
2238,1137.2679951985676
2239,1137.2679951985676
2240,1137.2679951985676
2241,1137.2679951985676
2242,1137.2679951985676
2243,1137.2679951985676
2244,1137.2679951985676
2245,1137.2679951985676
2246,1137.2679951985676
2247,1137.2679951985676
2248,1137.2679951985676
2249,1137.2679951985676
2250,1137.2679951985676
2251,1137.2679951985676
2252,1137.2679951985676
2253,1137.2679951985676
2254,1137.2679951985676
2255,1137.2679951985676
2256,1137.2679951985676
2257,1137.2679951985676
2258,1137.2679951985676
2259,1137.2679951985676
2260,1137.2679951985676
2261,1137.2679951985676
2262,1137.2679951985676
2263,1137.2679951985676
2264,1137.2679951985676
2265,1137.2679951985676
2266,1137.2679951985676
2267,1137.2679951985676
2268,1137.2679951985676
2269,1137.2679951985676
2270,1137.2679951985676
2271,1137.2679951985676
2272,1137.2679951985676
2273,1137.2679951985676
2274,1137.2679951985676
2275,1137.2679951985676
2276,1137.2679951985676
2277,1137.2679951985676
2278,1137.2679951985676
2279,1137.2679951985676
2280,1137.2679951985676
2281,1137.2679951985676
2282,1137.2679951985676
2283,1137.2679951985676
2284,1137.2679951985676
2285,1137.2679951985676
2286,1137.2679951985676
2287,1137.2679951985676
2288,1137.2679951985676
2289,1137.2679951985676
2290,1137.2679951985676
2291,1137.2679951985676
2292,1137.2679951985676
2293,1137.2679951985676
2294,1137.2679951985676
2295,1137.2679951985676
2296,1137.2679951985676
2297,1137.2679951985676
2298,1137.2679951985676
2299,1137.2679951985676
2300,1137.2679951985676
2301,1137.2679951985676
2302,1137.2679951985676
2303,1137.2679951985676
2304,1137.2679951985676
2305,1137.2679951985676
2306,1137.2679951985676
2307,1137.2679951985676
2308,1137.2679951985676
2309,1137.2679951985676
2310,1137.2679951985676
2311,1137.2679951985676
2312,1137.2679951985676
2313,1137.2679951985676
2314,1137.2679951985676
2315,1137.2679951985676
2316,1137.2679951985676
2317,1137.2679951985676
2318,1137.2679951985676
2319,1137.2679951985676
