Year,CO2 Forcing.Atmos CO2 exogenous
1961,857.9168134614389
1962,866.4959815960533
1963,875.1609414120138
1964,883.912550826134
1965,892.7516763343953
1966,901.6791930977392
1967,910.6959850287168
1968,919.8029448790038
1969,929.000974327794
1970,938.290984071072
1971,947.6738939117826
1972,957.1506328509004
1973,966.7221391794094
1974,976.3893605712036
1975,986.1532541769157
1976,996.0147867186848
1977,1005.9749345858716
1978,1016.0346839317302
1979,1026.1950307710476
1980,1036.4569810787582
1981,1046.8215508895455
1982,1057.289766398441
1983,1067.8626640624257
1984,1078.5412907030498
1985,1089.3267036100804
1986,1100.219970646181
1987,1111.222170352643
1988,1122.3343920561697
1989,1133.5577359767312
1990,1137.18908
1991,1133.5577359767312
1992,1122.3343920561697
1993,1111.222170352643
1994,1100.219970646181
1995,1089.3267036100804
1996,1078.5412907030498
1997,1067.8626640624257
1998,1057.289766398441
1999,1046.8215508895455
2000,1036.4569810787582
2001,1026.1950307710476
2002,1016.0346839317302
2003,1005.9749345858716
2004,996.0147867186848
2005,986.1532541769157
2006,976.3893605712036
2007,966.7221391794094
2008,957.1506328509004
2009,947.6738939117826
2010,938.290984071072
2011,929.000974327794
2012,919.8029448790038
2013,910.6959850287168
2014,901.6791930977392
2015,892.7516763343953
2016,883.912550826134
2017,875.1609414120138
2018,866.4959815960533
2019,857.9168134614389
2020,849.4225875855831
2021,841.0124629560229
2022,832.6856068871513
2023,824.4411949377735
2024,816.2784108294787
2025,808.1964463658205
2026,800.1945013522976
2027,792.2717835171263
2028,784.4275084327983
2029,776.6608994384142
2030,768.9711875627863
2031,761.3576114483033
2032,753.8194172755477
2033,746.3558586886612
2034,738.9661967214466
2035,731.6496997242047
2036,724.4056432912918
2037,717.2333101893977
2038,710.1319902865324
2039,703.1009804817152
2040,696.1395846353615
2041,689.247113500358
2042,682.4228846538198
2043,675.6662224295246
2044,668.9764578510145
2045,662.3529285653608
2046,655.794978777585
2047,649.3019591857277
2048,642.8732269165621
2049,636.5081454619426
2050,630.2060846157848
2051,623.966420411668
2052,617.7885350610575
2053,611.6718168921362
2054,605.6156602892437
2055,599.6194656329145
2056,593.6826392405094
2057,587.8045933074351
2058,581.9847458489456
2059,576.2225206425204
2060,570.5173471708123
2061,564.8686605651607
2062,559.275901549664
2063,553.738516385806
2064,548.2559568176297
2065,542.8276800174551
2066,537.4531485321338
2067,532.1318302298354
2068,526.8631982473618
2069,521.6467309379819
2070,516.4819118197842
2071,511.3682295245387
2072,506.30517774706806
2073,501.2922551951168
2074,496.32896553971966
2075,491.4148173660591
2076,486.5493241248109
2077,481.7320040839712
2078,476.9623802811596
2079,472.2399804763957
2080,467.5643371053423
2081,462.93498723301207
2082,458.3514725079328
2083,453.8133391167651
2084,449.3201377393714
2085,444.8714235043281
2086,440.46675594487937
2087,436.105698955326
2088,431.7878207478476
2089,427.5126938097501
2090,423.2798948611386
2091,419.0890048130086
2092,414.93960872575104
2093,410.8312957680704
2094,406.7636591763073
2095,402.7362962141656
2096,398.74880813283727
2097,394.800800131522
2098,390.8918813183386
2099,387.0216646716224
2100,383.1897670016064
2101,379.3958089124815
2102,375.6394147648332
2103,371.92021263844873
2104,368.23783429549377
2105,364.5919151440532
2106,360.9820942020329
2107,357.40801406141867
2108,353.8693208528898
2109,350.36566421078203
2110,346.896697238398
2111,343.46207647366134
2112,340.0614618551103
2113,336.694516688228
2114,333.3609076121069
2115,330.0603045664425
2116,326.792380758854
2117,323.55681263252865
2118,320.3532798341868
2119,317.1814651823631
2120,314.0410546360031
2121,310.9317372633694
2122,307.85320521125686
2123,304.80515367451176
2124,301.78728086585323
2125,298.7992879859933
2126,295.8408791940527
2127,292.91176157827005
2128,290.011645127
2129,287.14024270000004
2130,284.29727
2131,284.29727
2132,284.29727
2133,284.29727
2134,284.29727
2135,284.29727
2136,284.29727
2137,284.29727
2138,284.29727
2139,284.29727
2140,284.29727
2141,284.29727
2142,284.29727
2143,284.29727
2144,284.29727
2145,284.29727
2146,284.29727
2147,284.29727
2148,284.29727
2149,284.29727
2150,284.29727
2151,284.29727
2152,284.29727
