Year,Emissions.HFC134a eq Emissions,Ozone Forcing.Montreal gases equivalent effective stratospheric chlorine,Minor GHGs Forcing.Montreal Gases Effective Radiative Forcing,Emissions.Total CH4 Emissions,Emissions.CO Emissions,Emissions.Total N2O Emissions,Emissions.Total NOx Emissions,Emissions.Total SO2 Emissions,Emissions.VOC Emissions,CO2 Forcing.Atmos CO2 exogenous
2163,268.9620595821882,320.14482125743314,0.054669228960001724,99.92132458586096,290.37453999870496,7726.066741516284,31.409353207638308,5.244911751877448,52.60693406748022,407.1710052490234
2164,268.0876296153643,316.62405391505627,0.054080594553118,99.56776873955914,289.376105262249,7716.051650015092,31.253470453939848,5.200063562082101,52.4529956193846,406.9310073852539
2165,267.21259231140556,313.1225687320991,0.05349841177485503,99.21421289325734,288.3776705257929,7706.036558513901,31.097587700241387,5.1552153722867535,52.299057171288986,406.6990000406901
2166,266.336931397715,309.64002079768267,0.05292259608375711,98.86065704695554,287.379235789337,7696.02146701271,30.941704946542927,5.110367182491406,52.14511872319337,406.4750035603841
2167,265.46063109006394,306.1760726025507,0.052353064283014526,98.50710120065372,286.380801052881,7686.006375511518,30.785822192844467,5.065518992696059,51.99118027509776,406.260004679362
2168,264.58367607668106,302.730393848167,0.051789734491792916,98.15354535435192,285.382366316425,7675.991284010326,30.629939439146007,5.020670802900711,51.83724182700213,406.0540008544922
2169,263.7060515029258,299.3026612618671,0.051232526117500725,97.7999895080501,284.383931579969,7665.976192509135,30.474056685447547,4.975822613105364,51.68330337890652,405.8560028076172
2170,262.82774295651035,295.8925584178162,0.05068135982894724,97.4464336617483,283.385496843513,7655.961101007943,30.318173931749087,4.930974423310016,51.5293649308109,405.66700490315753
2171,261.9487364532882,292.49977556353895,0.05013615753034521,97.0928778154465,282.38706210705703,7645.946009506752,30.162291178050623,4.886126233514669,51.37542648271528,405.48600514729816
2172,261.06901842349345,289.1240094518012,0.04959684233611624,96.73932196914468,281.388627370601,7635.930918005561,30.006408424352166,4.8412780437193215,51.22148803461966,405.3130035400391
2173,260.1885756985363,285.76496317763167,0.04906333854645985,96.38576612284288,280.390192634145,7625.915826504369,29.850525670653703,4.796429853923973,51.067549586524045,405.1490020751953
2174,259.3073954981986,282.4223460202853,0.048535571623649534,96.03221027654108,279.39175789768905,7615.900735003177,29.69464291695525,4.751581664128626,50.91361113842843,404.99299875895184
2175,258.4254654183107,279.0958732899604,0.04801346816902151,95.67865443023928,278.39332316123307,7605.885643501986,29.538760163256786,4.706733474333278,50.759672690332806,404.84400177001953
