Year,Emissions.HFC134a eq Emissions,Ozone Forcing.Montreal gases equivalent effective stratospheric chlorine,Minor GHGs Forcing.Montreal Gases Effective Radiative Forcing,Emissions.Total CH4 Emissions,Emissions.CO Emissions,Emissions.CO2 Emissions from Fossil use,Emissions.Total N2O Emissions,Emissions.Total NOx Emissions,Emissions.Total SO2 Emissions,Emissions.VOC Emissions
1815,0.00015731518954104111,343.86505778715264,-3.412929753682936e-06,30.64433954,375.5806648,44.31824074,0.290367687,19.87895114,2.881174397,62.8715757
1816,0.00015979528006279095,343.8644875406808,-3.426002316408468e-06,30.79985622,371.6298228,49.03968264,0.295853389,19.3106319,2.89451963,62.14643252
1817,0.00016213231363468802,343.8283544096623,-3.6720958820073506e-06,31.19839541,376.4429441,51.19270204,0.30144273,19.88812017,2.939425965,62.94153101
1818,0.00016476735377223318,343.86238131335614,-3.4475851015309498e-06,31.68760832,383.9142096,51.50323308,0.307137665,20.53205154,3.001978233,64.26768049
1819,0.00016710609614619076,343.84024392782067,-3.5944934114081902e-06,31.84544135,378.3325838,51.74568402,0.312940191,19.79714264,2.956182588,63.25758927
1820,0.0001694113427296949,343.78930756676226,-3.939128492446539e-06,32.33339467,382.4197483,52.53618867,0.318852339,19.77086113,2.995581553,64.0766433
1821,0.00017163943884880863,343.6909901418228,-4.606870277785322e-06,32.52138863,382.8975341,53.36192138,0.324876181,20.12746972,3.007308731,63.98744909
1822,0.00017437284881320956,343.78370954819366,-3.994530368760766e-06,32.73451052,378.6708004,55.45545554,0.331013828,19.32625093,2.99428324,63.22724653
1823,0.00017678271658335196,343.7682653942069,-4.092538313510814e-06,32.75571509,374.3931813,58.7709369,0.337267428,19.19648346,2.994537839,62.26076437
1824,0.0001793234366007046,343.8127707151834,-3.792685559881843e-06,33.0519787,377.0407114,60.46706104,0.343639173,19.75129473,3.021111981,62.5634338
1825,0.00018167743473345373,343.8101034218156,-3.805973854418762e-06,33.52533882,380.3167498,63.111523,0.350131295,19.55903099,3.071614762,63.18578955
1826,0.00018397300527524233,343.7653991602698,-4.105783654825863e-06,33.7481029,378.8222655,63.69625003,0.356746068,19.5199619,3.059193093,62.81594151
1827,0.00018632772106535596,343.7313135736664,-4.3395604238706466e-06,34.15505001,382.4773392,68.30482988,0.363485808,19.77373198,3.127305637,63.38999011
