Year,Emissions.HFC134a eq Emissions,Ozone Forcing.Montreal gases equivalent effective stratospheric chlorine,Minor GHGs Forcing.Montreal Gases Effective Radiative Forcing,Emissions.CO Emissions,Emissions.CO2 Emissions from Fossil use,Emissions.Total NOx Emissions,Emissions.Total SO2 Emissions,Emissions.VOC Emissions,N2O Forcing.Atmos N2O exogenous,CH4 Forcing.Atmos CH4 exogenous
2087,1180.1082102199234,682.5416120622704,0.12880391823688211,450.0983500892853,23519.77505604129,85.15665157543384,34.7643487752748,135.38757132657645,375.3179829915365,1733.7997131347656
2088,1184.998565602851,677.3083778020455,0.12729187968282382,442.8811947135907,22560.35459302508,84.45120257636393,34.22985677745267,133.79100069997017,375.54197947184247,1728.6197611490886
2089,1189.8462271642543,672.1664309378139,0.12580282923990052,435.6640393378961,21600.93413000887,83.74575357729402,33.69536477963053,132.1944300733639,375.7529780069987,1723.7097676595051
2090,1194.6523182141777,667.1127814381985,0.124336065730605,428.4468839622015,20641.513666992658,83.04030457822411,33.1608727818084,130.5978594467576,375.9509760538737,1719.029774983724
2091,1199.4178372510767,662.1447161406156,0.12289092921193948,424.0943259525145,20025.655876608194,82.50548672508977,32.927024893368774,129.60794854873714,376.13698323567706,1714.56977335612
2092,1199.5961208689382,657.3960548936084,0.12146378194038376,419.7417679428274,19409.79808622373,81.97066887195541,32.69317700492915,128.61803765071667,376.3099797566732,1710.3397725423176
2093,1199.6686168455726,652.7750439145152,0.12005771376035766,415.3892099331404,18793.940295839267,81.43585101882107,32.45932911648952,127.62812675269622,376.4699834187825,1706.319793701172
2094,1199.6246970030268,648.2514655626542,0.11867249456589832,411.0366519234534,18178.082505454804,80.90103316568671,32.225481228049894,126.63821585467576,376.6189804077149,1702.5098266601562
2095,1199.459777959978,643.8142046824978,0.11730755782210445,406.68409391376633,17562.22471507034,80.36621531255237,31.991633339610267,125.6483049566553,376.7559814453125,1698.8798421223958
2096,1199.172537833534,639.4581555000748,0.11596234294232996,402.3315359040793,16946.366924685877,79.83139745941803,31.75778545117064,124.65839405863484,376.8809814453125,1695.4298299153645
2097,1198.7634189052512,635.1801590832843,0.11463632285605042,397.9789778943923,16330.50913430141,79.29657960628367,31.52393756273101,123.66848316061436,376.99398549397785,1692.1398518880208
2098,1198.23381963759,630.977733894834,0.11332900071701688,393.6264198847053,15714.651343916948,78.76176175314933,31.290089674291384,122.67857226259387,377.09598032633465,1689.0098470052085
2099,1197.5856565721335,626.8486745618703,0.11203990608536768,389.2738618750182,15098.793553532483,78.22694390001497,31.05624178585176,121.68866136457343,377.1859842936198,1686.0198567708333
2100,1196.8211250000738,622.7909219891288,0.11076859229091784,384.9213038653312,14482.93576314802,77.69212604688063,30.82239389741213,120.69875046655297,377.2639795939128,1683.1598612467449
2101,1195.94256671994,618.802518848704,0.10951463444783198,383.8264145386258,14386.382858060366,77.27976137594528,30.63045035447857,120.16257250323008,377.3319803873698,1680.4298706054688
2102,1193.8943919656151,613.3961542073365,0.10826267454052863,382.7315252119204,14289.829952972712,76.86739670500994,30.438506811545007,119.62639453990718,377.39198048909503,1677.6898295084636
2103,1191.7266325480755,607.5989852763439,0.10702451306746665,381.636635885215,14193.27704788506,76.45503203407459,30.24656326861145,119.09021657658428,377.4509811401367,1674.8098246256511
2104,1189.4441819203753,601.7281896157295,0.10580254917594752,380.5417465585096,14096.724142797406,76.04266736313924,30.054619725677885,118.5540386132614,377.5079803466797,1671.799825032552
2105,1187.050679557339,595.8812795583501,0.10459714612952654,379.4468572318042,14000.171237709752,75.63030269220388,29.862676182744323,118.01786064993853,377.56297556559247,1668.6697998046875
2106,1184.549101289705,590.0875188555849,0.10340814899378711,378.3519679050988,13903.618332622098,75.21793802126854,29.67073263981076,117.4816826866156,377.61498260498047,1665.4298095703125
2107,1181.9420708528169,584.3549031154605,0.10223526242287467,377.25707857839336,13807.065427534444,74.80557335033319,29.4787890968772,116.94550472329271,377.6659825642904,1662.0898030598958
2108,1179.2320228276114,578.6848025491536,0.10107815801463098,376.162189251688,13710.512522446792,74.39320867939784,29.28684555394364,116.40932675996984,377.7149836222331,1658.6497904459636
2109,1176.421286579483,573.0765445763298,0.09993650671621138,375.0672999249826,13613.959617359138,73.9808440084625,29.09490201101008,115.87314879664694,377.7629826863607,1655.1197916666667
2110,1173.5121283877202,567.5288525148819,0.09880998850192327,373.9724105982772,13517.406712271484,73.56847933752715,28.90295846807652,115.33697083332405,377.807980855306,1651.509785970052
2111,1170.506771615197,562.0402975311079,0.09769829488281025,372.87752127157177,13420.85380718383,73.1561146665918,28.711014925142955,114.80079287000116,377.8509852091472,1647.8298034667969
2112,1167.4074054929101,556.6094397004143,0.0966011291451477,371.7826319448664,13324.300902096178,72.74374999565646,28.51907138220939,114.26461490667826,377.89298248291016,1644.0797729492188
2113,1164.2161881336224,551.2348708321783,0.09551820589502584,370.687742618161,13227.747997008524,72.33138532472111,28.32712783927583,113.72843694335538,377.932985941569,1640.259785970052
2114,1160.9352467402282,545.9152262361948,0.094449250419584,369.5928532914556,13131.19509192087,71.91902065378576,28.135184296342267,113.19225898003248,377.97098541259766,1636.3897705078125
2115,1157.5666765609374,540.6491867262282,0.093393998028365,368.49796396475017,13034.642186833218,71.50665598285042,27.943240753408706,112.6560810167096,378.0079828898112,1632.4597778320312
2116,1154.1125393904033,535.4354776282794,0.0923521934248954,367.4030746380448,12938.089281745564,71.09429131191507,27.75129721047514,112.11990305338672,378.04198201497394,1628.479756673177
2117,1150.5748620176403,530.2728669444964,0.09132359012169712,366.3081853113394,12841.53637665791,70.68192664097973,27.55935366754158,111.5837250900638,378.0749867757161,1624.4497680664062
2118,1146.9556348102885,525.1601633520656,0.09030794990010337,365.213295984634,12744.983471570256,70.26956197004438,27.367410124608018,111.04754712674092,378.1059799194336,1620.3797810872395
2119,1143.256810515603,520.0962142464075,0.08930504231263484,364.11840665792863,12648.430566482604,69.85719729910903,27.175466581674453,110.51136916341802,378.13597869873047,1616.269755045573
2120,1139.480303302226,515.0799038879602,0.08831464422474722,363.0235173312232,12551.87766139495,69.44483262817369,26.98352303874089,109.97519120009514,378.1629816691081,1612.1197713216145
2121,1135.627988038742,510.1101516642957,0.08733653939267626,361.9286280045178,12455.324756307296,69.03246795723834,26.79157949580733,109.43901323677224,378.1889801025391,1607.9397583007812
