,Global Mean Surface Temperature (GMST),Ocean Heat Content|Global|Total,Atmospheric Concentrations|CO2,Carbon Flux to Oceans,Carbon Flux to Land,Effective Radiative Forcing|Aerosols,ECS,TCR
45088,1.097798032668477,429.217739228005,408.74466390789996,3.5113593711999997,2.5244670900610005,-1.3808442427765,2.939703080918528,1.5728507391551438
35847,1.1109445328235243,343.921200672959,408.08520699639996,2.812613604304,3.1365159317150004,-1.1895891519677002,1.7554551559947718,1.2972038439619364
82436,0.9189414360925311,301.00672029974004,409.49954515580004,2.948885901575,3.0593024313569996,-2.0870091314825,3.2372080725765664,1.992112916437187
89887,1.2301228613250001,459.62968751245,408.5470802676,2.4172321964859997,3.5562867007819996,-0.32362151360207003,2.0449128273635004,1.5275622794963446
24261,1.327819688108295,286.48924124418784,409.0697542266,3.258859430141,2.0426116230349995,-1.24863154260123,2.790731220703934,2.055599674349949
35565,0.9590855607420109,227.64742900099202,408.2988889455,3.666746604449,2.1058632541070006,-1.3920057100578,1.7240265063777689,1.3505060088131526
23606,1.3314317809550273,438.164039518114,407.4108250398,3.7197238295619997,1.924371344587,-0.8720976625793101,1.885099619218909,1.3365874334151413
85884,1.0251885012449937,505.83097770842,407.1575424471,3.02182346274,3.1330981329130005,-1.4316402125418999,2.786653520012927,1.718564481742451
46491,1.3683774220147569,605.07857087951,409.7088154233,2.716513914096,3.309299554805,-0.8324938295521,2.6271293599836443,1.7141099830209234
81597,1.1086892128202228,337.8913320079024,407.6969333311,2.684189736332,3.5858402024859997,-1.1148504131104542,2.1838434015533914,1.5631324447483912
29768,1.1798556561700664,455.6118642621,408.2495792735,3.3426046477130003,2.330007739659,-0.46265394530099996,1.824238585003352,1.2482039750036384
73731,1.0204203437805728,404.52275194695005,408.7468992834,3.384063810326,2.842462053926,-1.5510863652373998,3.44789562509093,1.863254357039002
45805,1.0735022775263707,514.38446045441,409.2902945098,2.6124709844860003,3.049989427663,-0.65779884207502,2.11243267497163,1.2558556471245406
81453,1.276317105144746,349.45326002223,407.9550336767,3.0777880955919996,3.324912121058,-2.0996380648125,3.944226578513547,2.329837670100997
74023,1.6425010535467532,463.93823990241003,406.00135014529997,1.693727615961,4.479373655140999,-0.40575319647992003,4.173695158793582,2.253307910283912
98258,1.1341262759919082,363.18615588619,408.28557923830004,2.4543400000170004,3.240371413204,-0.28096287030823003,1.5072835910389522,1.1319294687680683
84730,1.468650987151287,530.39076596688,409.17759689340005,2.554018134523,3.0454572641400004,-0.17999889160276,2.2173503506219028,1.1876654178236454
95787,1.2507611982740812,576.1690313697501,407.2951060378,3.1499926147929997,2.5596134376329998,-0.91632962615279,2.367264029772734,1.6883556553929715
82974,1.1189936563474558,375.202435832406,408.16864546039994,3.137993107164,3.1582225630350003,-1.6875387260561,4.289332759128117,1.929237189382237
45276,1.0224244034436083,370.644756242397,410.3297675885,3.18531885232,2.496791920769,-1.3430334848855,2.7623918238174188,1.710731742854483
73382,1.6656339153126332,495.63614501009704,410.01825827949995,3.7728317745120004,1.384897670621,-0.8976301837397,4.764349750426967,2.689280950498528
45960,1.213768966322386,373.7777660736211,407.8976422381,3.3612717863620007,2.457599350283,-1.0331827684845,2.8200239446970907,2.019603434345472
86259,1.4272232301745058,612.4110315691549,407.5456278601,3.179031368922,2.176194723573,-1.574661690506,3.5724058665464544,1.801047827915434
34514,1.16019908427696,414.93232939603905,408.7445313656,2.49127640692,3.558508444052,-1.7373172501449,4.073719151838018,2.285035005881133
