,forest,non-forest,grass,cropland,degraded
2083.0,3582.6737000000003,4285.727000000001,3137.16665,1861.9173312500002,125.5708
2084.0,3584.6481000000003,4291.5134,3130.967,1860.249478125,125.67743750000001
2085.0,3586.5947000000006,4297.327800000001,3124.7674,1858.58158125,125.78408750000001
2086.0,3588.5573000000004,4303.126200000001,3118.5678500000004,1856.9137406250002,125.8907375
2087.0,3590.608,4308.836200000001,3112.3683,1855.24583125,125.9973875
2088.0,3592.6372,4314.5676,3106.1687,1853.57796875,126.10402500000001
2089.0,3594.7208,4320.245,3099.96905,1851.910053125,126.21067500000001
2090.0,3596.8839000000003,4325.8428,3093.76935,1850.24220625,126.31732500000001
2091.0,3599.992,4328.8586000000005,3093.5145500000003,1844.469215625,126.2212375
2092.0,3603.0838000000003,4331.890600000001,3093.25975,1838.6963500000002,126.12515
2093.0,3606.1465000000003,4334.951800000001,3093.00495,1832.9234812500001,126.02906250000001
2094.0,3609.1465,4338.0754,3092.7501500000003,1827.150496875,125.9329625
2095.0,3612.1347,4341.2112,3092.49515,1821.377634375,125.836875
2096.0,3615.1585,4344.3114000000005,3092.2404,1815.6047156250002,125.74078750000001
2097.0,3618.2234000000003,4347.3702,3091.98545,1809.831859375,125.6447
2098.0,3621.2945,4350.423,3091.7307,1804.0588843750002,125.5486125
2099.0,3624.3875,4353.453600000001,3091.4758,1798.286003125,125.45252500000001
2100.0,3627.4885000000004,4356.4766,3091.2211,1792.513075,125.35643750000001
