Year,Crop.crop production exogenous
1925,0.7294045769804106
1926,0.7358609950386552
1927,0.7423174130968998
1928,0.7487738311551444
1929,0.755230249213389
1930,0.7616866672716336
1931,0.7697162434474913
1932,0.7777458196233491
1933,0.785775395799207
1934,0.7938049719750647
1935,0.8018345481509225
1936,0.8098641243267802
1937,0.817893700502638
1938,0.8259232766784959
1939,0.8339528528543536
1940,0.8419824290302114
1941,0.847935629722324
1942,0.8538888304144366
1943,0.8598420311065492
1944,0.8657952317986619
1945,0.8717484324907745
1946,0.8777016331828871
1947,0.8836548338749998
1948,0.8896080345671123
1949,0.895561235259225
1950,0.9015144359513376
1951,0.9173650878172604
1952,0.9344181195470946
1953,0.9525055627974852
1954,0.971232581599748
1955,0.9908745655253424
1956,1.010833780319014
1957,1.031520595047169
1958,1.0527219597288182
1959,1.072501997152148
1960,1.090408872299963
1961,1.1082717
1962,1.1286558
1963,1.1517129
1964,1.23256935
1965,1.2565143
1966,1.3155768
1967,1.3556475
1968,1.38741435
1969,1.38848445
1970,1.4580369
1971,1.49261535
1972,1.464633
1973,1.58039505
1974,1.56729735
1975,1.59985575
1976,1.6837182
1977,1.7215155
1978,1.8201231
1979,1.8025425
1980,1.7641547999999998
1981,1.862262
1982,1.9675845
1983,1.92189375
1984,2.0516247
1985,2.0695905
1986,2.0958174
1987,2.11790745
1988,2.091168
1989,2.20207545
1990,2.26244565
1991,2.2456107
1992,2.3271363000000003
1993,2.29082715
1994,2.34060705
1995,2.39485635
1996,2.53638855
1997,2.57494185
1998,2.60744895
1999,2.66032845
2000,2.68735545
2001,2.7206253
2002,2.76450705
2003,2.8337994
2004,2.95608285
2005,2.96036145
2006,3.01965345
2007,3.1880385
2008,3.3445467
2009,3.3266911500000003
2010,3.65441445
2011,3.86184645
2012,3.89465775
2013,4.0763277
2014,4.14303345
2015,4.1609817
2016,4.2332247
2017,4.3364835
2018,4.36283685
2019,4.4112105
2020,4.3993791
2021,4.5204404821094855
2022,4.614468847099361
2023,4.708497212089236
2024,4.802525577079112
2025,4.896553942068988
2026,4.9905823070588635
2027,5.084610672048739
2028,5.178639037038614
2029,5.27266740202849
2030,5.366695767018365
2031,5.469859955442509
2032,5.573024143866652
2033,5.676188332290796
2034,5.779352520714938
2035,5.8825167091390815
2036,5.985680897563226
2037,6.088845085987368
2038,6.192009274411512
2039,6.295173462835655
2040,6.398337651259799
2041,6.501501839683942
2042,6.604666028108085
2043,6.707830216532229
2044,6.8109944049563715
2045,6.914158593380515
2046,7.017322781804659
2047,7.120486970228802
2048,7.223651158652945
2049,7.326815347077088
2050,7.429979535501232
2051,7.516887618475161
2052,7.60379570144909
2053,7.690703784423018
2054,7.777611867396947
2055,7.864519950370877
2056,7.951428033344805
2057,8.038336116318735
2058,8.125244199292663
2059,8.212152282266592
2060,8.299060365240521
2061,8.417359160434515
2062,8.535657955628507
2063,8.6539567508225
2064,8.772255546016494
2065,8.890554341210485
2066,9.008853136404479
2067,9.12715193159847
2068,9.245450726792464
2069,9.363749521986458
2070,9.482048317180451
2071,9.633708213344901
2072,9.78536810950935
2073,9.9370280056738
2074,10.088687901838249
2075,10.240347798002698
2076,10.392007694167148
2077,10.543667590331598
2078,10.695327486496048
2079,10.846987382660496
2080,10.998647278824947
2081,11.115664176335194
2082,11.232681073845443
2083,11.349697971355692
2084,11.466714868865939
2085,11.583731766376188
2086,11.700748663886436
2087,11.817765561396683
2088,11.934782458906932
2089,12.051799356417181
2090,12.168816253927428
2091,12.297493193204149
2092,12.42617013248087
2093,12.55484707175759
2094,12.683524011034313
2095,12.812200950311032
2096,12.940877889587753
2097,13.069554828864474
2098,13.198231768141195
2099,13.326908707417916
2100,13.455585646694637
