Year,Land Use.clearing forest for grassland exogenous,Land Use.clearing forests for crops exogenous,Land Use.foresting grassland exogenous,Land Use.clearing grassland exogenous,Land Use.degraded land from grassland exogenous,Land Use.forresting cropland exogenous,Land Use.fallowing cropland exogenous,Land Use.degraded land from crops exogenous,Land Use.foresting degraded land exogenous
1884,2.137164712524414,1.922838632202149,0.0,4.472977972316743,0.038737364155054,0.0,0.0,0.0686748097687959,0.0
1885,2.1371511718750003,1.9228065063476567,0.0,4.473073184156421,0.0386290889680385,0.0,0.0,0.0687379065886139,0.0
1886,2.137140231323242,1.9227617919921889,0.0,4.47316218173504,0.0385284623920917,0.0,0.0,0.0687818777114152,0.0
1887,2.137130157470703,1.9227154724121096,0.0,4.473241805529595,0.0384390094876289,0.0,0.0,0.0688163706861436,0.0
1888,2.13712331237793,1.922662634277346,0.0,4.473321166086196,0.0383518049895763,0.0,0.0,0.0688420641891658,0.0
1889,2.1371138793945312,1.92260546875,0.0,4.473393229806424,0.0382707142591476,0.0,0.0,0.0688577753521502,0.0
1890,3.5204667724609378,2.0910835815429696,0.0,4.081801688480377,0.0492534468412399,0.0,0.0,0.0849284489838406,0.0
1891,3.5205964782714845,2.090947961425781,0.0,4.081831619167328,0.0493530143201351,0.0,0.0,0.0848220511049032,0.0
1892,3.5207151916503907,2.0907883636474622,0.0,4.0818495335817335,0.0494539345860481,0.0,0.0,0.0846799660637974,0.0
1893,3.5208260192871097,2.090626788330077,0.0,4.081860096406938,0.0495548411190509,0.0,0.0,0.0845291396373883,0.0
1894,3.520936083984375,2.0904658477783205,0.0,4.081859388113022,0.049663930773735,0.0,0.0,0.0843681528616696,0.0
1895,3.521038854980469,2.0903171722412104,0.0,4.081859316015244,0.0497680250644683,0.0,0.0,0.0842190616725012,0.0
1896,3.5211387512207035,2.0901488525390626,0.0,4.081858642339707,0.0498684801161289,0.0,0.0,0.0840499614674598,0.0
1897,3.521234448242188,2.08998091430664,0.0,4.081855851340293,0.0499665712833404,0.0,0.0,0.0838787426350638,0.0
1898,3.5213251892089845,2.089805151367189,0.0,4.081849255895616,0.0500637579917907,0.0,0.0,0.0836971537370234,0.0
1899,3.521412420654297,2.089646881103516,0.0,4.081845894050598,0.050155008727312,0.0,0.0,0.0835351246669888,0.0
1900,3.568185681152344,2.038215518188476,0.0,7.201549715018272,0.0837600853919982,0.0,0.0,0.1390582113325595,0.0
1901,3.5682319976806647,2.0380793518066405,0.0,7.201793549442289,0.0835623087584972,0.0,0.0,0.1391656732022762,0.0
1902,3.568280438232422,2.0379449890136723,0.0,7.202013911366464,0.0833895255386829,0.0,0.0,0.1392520168602466,0.0
1903,3.5683324340820315,2.037786080932616,0.0,7.202210060334208,0.0832454981923103,0.0,0.0,0.1392890404760837,0.0
1904,3.5683834899902345,2.037635040283204,0.0,7.202398640632628,0.0831084148705005,0.0,0.0,0.1393264346480369,0.0
1905,3.5684307556152346,2.0374645935058595,0.0,7.202575658798219,0.0829790031969547,0.0,0.0,0.1393331548810005,0.0
1906,3.568483795166016,2.0373070495605443,0.0,7.20274267847538,0.0828646235525608,0.0,0.0,0.139342997276783,0.0
1907,3.568537222290039,2.03715133972168,0.0,7.202898915386198,0.0827613237917423,0.0,0.0,0.1393430564522743,0.0
1908,3.568585610961914,2.0369781555175788,0.0,7.203051211643222,0.0826586152553558,0.0,0.0,0.1393224421322345,0.0
1909,3.5686328369140625,2.0368087799072274,0.0,7.20318402647972,0.0825718358874321,0.0,0.0,0.1392865626275539,0.0
1910,1.3093797119140622,1.4419267944335932,0.0,3.4538300232410446,0.0378109090268612,0.0,0.0,0.0676115129172802,0.0
1911,1.3093019775390626,1.4418370483398435,0.0,3.453890210413933,0.0376742161214351,0.0,0.0,0.0675824725806713,0.0
1912,1.3092163085937505,1.441706488037109,0.0,3.453937802553176,0.0375412499606609,0.0,0.0,0.0674996631383895,0.0
1913,1.3091413085937502,1.4415703613281252,0.0,3.4539769318580618,0.0374265509724617,0.0,0.0,0.0674027662336826,0.0
1914,1.30907373046875,1.441425561523438,0.0,3.4540156553506858,0.0373211027562618,0.0,0.0,0.0672971336960792,0.0
1915,1.3090075439453126,1.441260668945315,0.0,3.4540429740905747,0.0372267058372497,0.0,0.0,0.0671595823109149,0.0
1916,1.3089498535156252,1.441098291015626,0.0,3.4540772610425954,0.0371348566710948,0.0,0.0,0.0670320038497448,0.0
1917,1.3088989013671877,1.440935095214842,0.0,3.4540991091251367,0.0370621743202209,0.0,0.0,0.0668900505661964,0.0
1918,1.3088484130859377,1.440751928710938,0.0,3.454126182460783,0.0369847187757492,0.0,0.0,0.066732499974966,0.0
1919,1.3087960693359375,1.4405678833007831,0.0,3.4541399051904698,0.0369185264527797,0.0,0.0,0.0665626114964485,0.0
1920,2.938201306152344,1.5122234130859376,0.0,6.676013504517078,0.0479674409151077,0.0,0.0,0.0787676728963852,0.0
1921,2.9382148193359376,1.511987390136721,0.0,6.676109135544303,0.0478844766855239,0.0,0.0,0.0786261678159236,0.0
1922,2.93823271484375,1.511755786132813,0.0,6.676178971219063,0.0478321699261665,0.0,0.0,0.0784641093730926,0.0
1923,2.938253137207032,1.5115315429687488,0.0,6.676221296918394,0.0478106073021888,0.0,0.0,0.0782812183320522,0.0
1924,2.93827607421875,1.5113032836914044,0.0,6.67625908226967,0.0477953172206878,0.0,0.0,0.0780913336455822,0.0
1925,2.9383008422851566,1.511086779785158,0.0,6.676274410247803,0.0478049334287643,0.0,0.0,0.0778911993801593,0.0
1926,2.938325720214844,1.5108571594238285,0.0,6.676293404078486,0.0478116510391235,0.0,0.0,0.0776791991472244,0.0
1927,2.9383552734375,1.5106487915039055,0.0,6.676290456974504,0.04784277074337,0.0,0.0,0.0774691259622573,0.0
1928,2.9383892333984374,1.510441650390625,0.0,6.67629479647875,0.047873158454895,0.0,0.0,0.0772651184558868,0.0
1929,2.938428405761719,1.5102514709472672,0.0,6.6763012855410615,0.0479058190226554,0.0,0.0,0.0770829654812812,0.0
1930,5.829044201660157,2.0971180480957017,0.0,6.660640473765138,0.0403849598169326,0.0,0.0,0.063063204050064,0.0
1931,5.829053381347657,2.0970386962890637,0.0,6.660600857651232,0.0404338186264038,0.0,0.0,0.0629446436405181,0.0
1932,5.829070446777344,2.096977697753905,0.0,6.660564593666793,0.0404869690656662,0.0,0.0,0.0628479265928268,0.0
1933,5.829095397949219,2.096930810546876,0.0,6.660527822995185,0.0405489929676055,0.0,0.0,0.0627631858825683,0.0
1934,5.829118469238282,2.096888513183595,0.0,6.660488713765147,0.0406109518051147,0.0,0.0,0.0626828954219818,0.0
1935,5.8291452148437495,2.096846801757813,0.0,6.660450860238075,0.0406761301755905,0.0,0.0,0.0626027056217193,0.0
1936,5.829171228027343,2.096811791992188,0.0,6.660412225866317,0.040740049290657,0.0,0.0,0.0625285702705383,0.0
1937,5.829200927734375,2.0967876098632825,0.0,6.660372656011582,0.0408101445913314,0.0,0.0,0.0624652270317077,0.0
1938,5.8292329956054685,2.096765924072264,0.0,6.660328590577844,0.0408853976011276,0.0,0.0,0.0623999476671218,0.0
