,forest,non-forest,grass,cropland,degraded
2072.0,3472.9064,3985.7434000000003,3438.338,1998.7500843750001,97.3175125
2073.0,3468.4281,3982.724,3439.3729000000003,2004.955365625,97.5752125
2074.0,3463.9398,3979.7146000000002,3440.4077,2011.160471875,97.83290625000001
2075.0,3459.4263,3976.7302,3441.4427,2017.3657687500001,98.09060000000001
2076.0,3455.3928,3973.9158000000007,3442.0923000000003,2023.306478125,98.34829375000001
2077.0,3451.3586999999998,3971.1020000000003,3442.7419,2029.2471406250002,98.60599375000001
2078.0,3447.3214000000003,3968.2912,3443.3915,2035.187846875,98.86368750000001
2079.0,3443.2862000000005,3965.4782000000005,3444.0412,2041.128509375,99.12138125
2080.0,3439.2532,3962.6634000000004,3444.6908000000003,2047.069175,99.379075
2081.0,3435.8207,3959.96,3444.9280000000003,2052.7793625,99.567425
2082.0,3432.3399,3957.3050000000003,3445.1655,2058.489496875,99.75576875
2083.0,3428.8526,3954.6562000000004,3445.4029,2064.199696875,99.9441125
2084.0,3425.375,3951.998,3445.6402000000003,2069.90998125,100.13245625
2085.0,3421.8992,3949.3376,3445.8776000000003,2075.620159375,100.3208
2086.0,3418.7625000000003,3946.8982,3445.7627,2081.1229625,100.50915
2087.0,3415.6292000000003,3944.4554,3445.6477,2086.6258625,100.69749375
2088.0,3412.4924,3942.0158,3445.5327,2092.12874375,100.88583750000001
2089.0,3409.3544,3939.5778,3445.4177,2097.6315156250002,101.07418125000001
2090.0,3406.1670000000004,3937.1888000000004,3445.3028000000004,2103.1343687500002,101.26253125000001
2091.0,3403.2461000000003,3934.7462,3445.1447000000003,2108.516075,101.40263750000001
2092.0,3400.3369000000002,3932.2916,3444.9866,2113.897759375,101.54275
2093.0,3397.4361000000004,3929.8286000000003,3444.8285,2119.2793406250003,101.68285625
2094.0,3394.5427,3927.3584,3444.6706000000004,2124.66101875,101.82296875
2095.0,3391.6576000000005,3924.8798000000006,3444.5125000000003,2130.042640625,101.96308125
2096.0,3389.1433,3922.2482,3444.3023000000003,2135.258725,102.1031875
2097.0,3386.6325,3919.6128,3444.0922,2140.474746875,102.2433
2098.0,3384.1180000000004,3916.9812,3443.8822,2145.690778125,102.3834125
2099.0,3381.6646,3914.2886000000003,3443.6722,2150.90681875,102.52351875000001
2100.0,3379.2222,3911.5848,3443.462,2156.122853125,102.66363125000001
