Year,Natural Forcing.Baseline Effective Radiative Forcing from Solar Output Variations,Natural Forcing.Baseline Effective Radiative Forcing from Volcanoes,Minor GHGs Forcing.Montreal Gases Effective Radiative Forcing,Ozone Forcing.Montreal gases equivalent effective stratospheric chlorine
1991,0.105951871,-0.528611176,0.3335262964566653,1786.469490641493
1992,0.104195202,-1.741204478,0.3412499611560945,1813.5658878250943
1993,0.083534446,-0.747536443,0.3456422918493638,1819.1671297073485
1994,0.034701259,-0.040998913,0.34905209411846017,1811.3229348792174
1995,0.005129601,0.132348997,0.35198954647042413,1792.7576574946042
1996,-0.000487593,0.195174714,0.3544072071009614,1771.5370089299404
1997,-0.012655272,0.215744422,0.3559030016109253,1750.1476300725462
1998,0.003701228,0.217402831,0.35723452434739644,1746.8307225918916
1999,0.05061655,0.220889653,0.3583059664606789,1717.1773197945665
2000,0.085073072,0.221536499,0.35925210015570286,1697.988511981427
2001,0.110136855,0.216276086,0.3599657540591024,1664.4745980453552
2002,0.099598671,0.22305988,0.360382564702247,1641.2023363233773
2003,0.104868677,0.206704845,0.36044153386373384,1623.4993119002713
2004,0.043571881,0.21761975,0.36024650570785627,1607.4198925330231
2005,0.016789555,0.191487296,0.3602538949409957,1600.8493737448534
2006,-0.009682365,0.175515176,0.36013414335384036,1581.5190837312066
2007,-0.015652004,0.163320347,0.36022773321409673,1569.8509274051216
2008,-0.0271628,0.179477208,0.360403722012098,1552.914816438561
2009,-0.029668862,0.151295608,0.3602822442831363,1533.3872007158216
2010,-0.029721937,0.184927372,0.36019208874338987,1520.4672602401743
2011,-0.007547777,0.145307925,0.3598825337770674,1507.1554266346131
2012,0.026778812,0.182729628,0.35926460008667993,1496.4725890114814
2013,0.041142496,0.205680245,0.3587904691891815,1483.316635346603
2014,0.049433641,0.187819398,0.35812800995993344,1470.044697359597
2015,0.059315907,0.157038124,0.35721550749460734,1461.5253106495252
2016,0.02942091,0.178190712,0.35628183770791266,1460.4421198861492
2017,-0.007377415,0.204682078,0.3553259976623947,1444.7104958955433
2018,-0.01725677,0.18670517,0.3542753759263312,1433.5381605756331
2019,-0.021257743,0.133221449,0.35263088389700004,1418.886
2020,-0.021963061,0.096303611,0.350342991647,1414.1215000000002
2021,-0.016758823,0.153447806,0.348039773457,1400.5053
2022,0.019767054,0.095918162,0.345645143407,1388.3156
2023,0.059602872,0.095918162,0.34237358098443094,1375.0076974521635
2024,0.0668683859617568,0.0852605884444444,0.33886266786558034,1361.5904495684167
2025,0.0448233959148743,0.0746030148888888,0.3351330453166926,1348.064725613059
2026,0.0198382240800248,0.0639454413333333,0.331202769415074,1334.434623854986
2027,-0.0055994074883663,0.0532878677777777,0.3270883296777427,1320.7052919806158
2028,-0.0158087520697533,0.0426302942222222,0.32280487780423434,1306.8821796831426
2029,-0.0327868691616476,0.0319727206666666,0.3183663467393074,1292.9707523204434
2030,-0.0418654271266476,0.0213151471111111,0.3137855489583965,1278.976362641279
2031,-0.0507985363411094,0.0106575735555555,0.30907426579726655,1264.904183613019
2032,-0.048807784912672,0.0,0.3043326063973311,1250.645034211388
2033,-0.0269821262116128,0.0,0.2995649307300838,1236.4013295706586
2034,0.0112978222178663,0.0,0.2947752224607454,1222.2343180299424
2035,0.015861784319203,0.0,0.2899669604253272,1208.1616061490242
2036,0.0329283735145912,0.0,0.2851432406082159,1194.1872370486115
2037,0.0157935264130572,0.0,0.28030685155566704,1180.311012257244
2038,0.015107057890482,0.0,0.27546031697323536,1166.5313958472484
2039,-0.009433176685166,0.0,0.2706059241933242,1152.846425345191
2040,-0.0325623321318726,0.0,0.26574574653286054,1139.254000990128
2041,-0.0527970782530248,0.0,0.2608816625001908,1125.7519803631765
2042,-0.0583686672406175,0.0,0.25619121085093965,1112.4870880645317
2043,-0.0557006678559704,0.0,0.25165597217698404,1099.4824628265346
2044,-0.0432855611117703,0.0,0.24726447357072545,1086.7356926025438
2045,-0.0071474985093443,0.0,0.24300683293779565,1074.2370883854883
2046,0.0173951723222181,0.0,0.23887401921091714,1061.9752756321348
