Year,Emissions.CO2 Emissions from Fossil use,Emissions.Total CH4 Emissions,Emissions.Total SO2 Emissions,Emissions.Total N2O Emissions,Emissions.N2O non AFOLU Emissions,Emissions.HFC134a eq Emissions,Land Use.clearing forest for grassland exogenous,Land Use.clearing forests for crops exogenous,Land Use.foresting grassland exogenous,Land Use.clearing grassland exogenous,Land Use.degraded land from grassland exogenous,Land Use.forresting cropland exogenous,Land Use.fallowing cropland exogenous,Land Use.degraded land from crops exogenous,Land Use.foresting degraded land exogenous,Forest.cutting exogenous,Crop.crop production exogenous
2164,-3902.096396115742,97.02874277996592,7.302956617757721,10604.400923331486,1183.7074623983135,331.0747888056491,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
2165,-3251.7469967631187,96.862092295188,7.239983779933981,10590.636883071042,1169.9434221378683,329.58887135393434,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
2166,-2601.3975974104947,96.69544181041012,7.17701094211024,10576.872842810595,1156.1793818774229,328.1153799082159,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
2167,-1951.0481980578704,96.52879132563224,7.114038104286499,10563.10880255015,1142.4153416169772,326.65396260987865,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
2168,-1300.698798705247,96.36214084085434,7.051065266462759,10549.344762289706,1128.6513013565318,325.20427746249464,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
2169,-650.3493993526235,96.19549035607643,6.9880924286390185,10535.58072202926,1114.887261096086,323.7659920403805,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
2170,0.0,96.02883987129854,6.925119590815278,10521.816681768814,1101.1232208356407,322.3387832061608,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
2171,0.0,95.86218938652064,6.862146752991538,10508.05264150837,1087.3591805751953,320.9223368370051,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
2172,0.0,95.69553890174276,6.799173915167797,10494.288601247925,1073.5951403147496,319.516347559297,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
2173,0.0,95.52888841696486,6.736201077344057,10480.524560987476,1059.8311000543042,318.12051849149407,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
2174,0.0,95.36223793218696,6.673228239520316,10466.760520727032,1046.0670597938586,316.7345609947898,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
2175,0.0,95.19558744740908,6.610255401696575,10452.996480466589,1032.3030195334131,315.35819443150166,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
2176,0.0,95.0289369626312,6.547282563872835,10439.23244020614,1018.5389792729676,313.9911459307792,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
2177,0.0,94.8622864778533,6.484309726049094,10425.468399945694,1004.774939012522,312.63315016152274,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
2178,0.0,94.6956359930754,6.421336888225354,10411.704359685247,991.0108987520766,311.28394911220704,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
2179,0.0,94.52898550829752,6.3583640504016135,10397.940319424804,977.2468584916312,309.9432918773829,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
2180,0.0,94.36233502351962,6.295391212577873,10384.176279164358,963.4828182311855,308.6109344507633,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
